"Reservation_ID";"Guest_ID";"First_Name";"Last_Name";"Gender";"Email";"Phone";"Nationality";"Birthdate";"Address";"City";"Postal_Code";"Country";"Check_in_Date";"Check_out_Date";"Room_Number";"Floor_Number";"Room_Type";"Adults";"Children";"Total_Nights";"Total_Amount";"Payment_Status";"Special_Requests";"Reservation_Source";"Booking_Date";"Check_in_Time";"Check_out_Time";"Breakfast_Included";"Spa_Package_Included";"Airport_Pickup_Included";"Room_Type_Rate"
1002;102;"Austin";"Henderson";"Female";"williamaustin@example.org";"4268908795";"Cyprus";"1999-07-22";"31442 Morris Port Apt. 423";"South Christopher";"50083";"Cyprus";"2022-12-03";"2022-12-07";"52";"3";"Deluxe";3;0;4;528.0;"Pending";"Agreement every land car.";"Phone";"2022-11-27";"16:05:00";"21:09:16";"No";"Yes";"Yes";132
1003;103;"Jamie";"Smith";"Male";"benjaminporter@example.com";"+1-563-234-8041x0677";"Italy";"1978-09-16";"851 Ashley Junctions Apt. 370";"Loweberg";"96233";"Italy";"2022-08-01";"2022-08-03";"53";"3";"Standard";1;0;2;176.0;"Paid";"Say exactly total field American.";"Website";"2022-07-22";"18:54:33";"23:34:07";"No";"Yes";"No";88
1004;104;"Brian";"Erickson";"Male";"johnmelton@example.org";"+1-377-838-9030x072";"Slovakia";"1958-02-21";"7221 Lewis Burg";"Lake James";"19770";"Slovakia";"2022-02-11";"2022-02-12";"15";"1";"Suite";1;0;1;227.0;"Pending";"Operation better present effort teacher huge end.";"Walk-in";"2022-01-22";"13:48:30";"09:00:01";"No";"Yes";"Yes";227
1005;105;"Cristian";"Taylor";"Male";"salazarkelly@example.com";"5043212352";"Norway";"1984-11-30";"9874 Melanie Ford Suite 715";"Craigborough";"25612";"Norway";"2022-07-18";"2022-07-20";"42";"2";"Suite";1;0;2;458.0;"Pending";"Board little they really office.";"Booking Platform";"2022-06-15";"15:32:38";"23:48:24";"Yes";"No";"Yes";229
1006;106;"Julia";"Johnson";"Male";"laura96@example.net";"625-499-3657x91730";"Poland";"1985-09-06";"53173 Williams Locks";"Lake David";"44778";"Poland";"2022-04-22";"2022-04-23";"57";"3";"Suite";4;2;1;217.0;"Pending";"Shake significant later difficult key.";"Walk-in";"2022-04-04";"03:53:40";"19:04:40";"No";"No";"Yes";217
1007;107;"James";"Gibson";"Male";"mendezalexander@example.net";"863.882.8921x82893";"Estonia";"1982-12-05";"8225 Sheila Viaduct";"Nashbury";"40102";"Estonia";"2022-05-21";"2022-05-26";"85";"4";"Deluxe";1;0;5;710.0;"Paid";"System where the think.";"Walk-in";"2022-04-25";"02:35:07";"12:55:21";"Yes";"No";"No";142
1008;108;"Gabriel";"Gonzalez";"Female";"hhoffman@example.org";"-8077";"Australia";"2004-03-04";"44218 James Circle Apt. 951";"New Amymouth";"8193";"Australia";"2023-01-04";"2023-01-08";"72";"3";"Suite";3;1;4;980.0;"Paid";"Fire sit college finish lawyer find.";"Website";"2022-12-16";"23:55:57";"21:58:04";"No";"Yes";"Yes";245
1009;109;"Ryan";"Cross";"Male";"johnfernandez@example.net";"(296)239-0361";"Malta";"1970-12-14";"132 Tanner Court Apt. 868";"South Christopher";"51205";"Malta";"2022-12-14";"2022-12-17";"21";"1";"Suite";1;1;3;726.0;"Paid";"Especially look during million.";"Walk-in";"2022-12-02";"18:43:19";"22:31:43";"Yes";"No";"Yes";242
1010;110;"Andrew";"Washington";"Male";"jeffreymorales@example.org";"8517786994";"Portugal";"1978-12-03";"36073 Robert Ridges Apt. 499";"Thomashaven";"8550";"Portugal";"2022-03-25";"2022-03-26";"2";"1";"Standard";1;1;1;68.0;"Paid";"While project choice fire risk call list present.";"Phone";"2022-02-18";"21:59:19";"02:31:33";"No";"No";"No";68
1012;112;"James";"Miller";"Male";"jpatel@example.net";"(932)343-7003x96978";"Brazil";"1955-01-06";"1811 Mullins Summit";"North Philiphaven";"40460";"Brazil";"2022-01-24";"2022-01-25";"22";"1";"Deluxe";1;0;1;127.0;"Paid";"Congress phone front until defense.";"Phone";"2022-01-08";"18:14:51";"17:43:30";"Yes";"No";"No";127
